npcommid,trophyid,unlocked,time_unlocked_uc,title
NPWR03124_00,0,0,0001-01-01T00:00:00.00Z,Snake Eaten
NPWR03124_00,1,1,2019-10-05T10:10:10.00Z,Young Gun
NPWR03124_00,2,0,0001-01-01T00:00:00.00Z,Pain Relief
NPWR03124_00,3,0,0001-01-01T00:00:00.00Z,"If It Bleeds, We Can Kill It"
NPWR03124_00,4,0,0001-01-01T00:00:00.00Z,The End
NPWR03124_00,5,0,0001-01-01T00:00:00.00Z,"Houston, We HAD a Problem"
NPWR03124_00,6,0,0001-01-01T00:00:00.00Z,River of Pain
NPWR03124_00,7,0,0001-01-01T00:00:00.00Z,Shagadelic
NPWR03124_00,8,0,0001-01-01T00:00:00.00Z,Grounded
NPWR03124_00,9,0,0001-01-01T00:00:00.00Z,The Patriot
NPWR03124_00,10,1,2019-10-05T10:10:10.00Z,Mama Said
NPWR03124_00,11,0,0001-01-01T00:00:00.00Z,Tell Me Where the Bomb Is
NPWR03124_00,12,0,0001-01-01T00:00:00.00Z,Like He Just Doesn't Care
NPWR03124_00,13,0,0001-01-01T00:00:00.00Z,Close Shave
NPWR03124_00,14,0,0001-01-01T00:00:00.00Z,Don't Touch the Sides
NPWR03124_00,15,0,0001-01-01T00:00:00.00Z,The Cat's out of the Bag
NPWR03124_00,16,0,0001-01-01T00:00:00.00Z,Snake Eyes
NPWR03124_00,17,0,0001-01-01T00:00:00.00Z,Prince Charming
NPWR03124_00,18,0,0001-01-01T00:00:00.00Z,Ralph Called
NPWR03124_00,19,1,2019-10-05T10:10:10.00Z,Can I Keep It?
NPWR03124_00,20,0,0001-01-01T00:00:00.00Z,Just What the Doctor Ordered
NPWR03124_00,21,0,0001-01-01T00:00:00.00Z,Everything Is in Season
NPWR03124_00,22,0,0001-01-01T00:00:00.00Z,Fungus Among Us
NPWR03124_00,23,0,0001-01-01T00:00:00.00Z,A Bird in the Hand...
NPWR03124_00,24,0,0001-01-01T00:00:00.00Z,Charmer
NPWR03124_00,25,0,0001-01-01T00:00:00.00Z,Tall Tale
NPWR03124_00,26,0,0001-01-01T00:00:00.00Z,Them's Good Eatin'
NPWR03124_00,27,1,2019-10-05T10:10:10.00Z,Snake Eater
NPWR03124_00,28,0,0001-01-01T00:00:00.00Z,A Good Man Is Hard to Find
NPWR03124_00,29,1,2019-10-05T10:10:10.00Z,I Can Totally See You
NPWR03124_00,30,0,0001-01-01T00:00:00.00Z,"Problem Solved, Series Over"
NPWR03124_00,31,0,0001-01-01T00:00:00.00Z,Snake Bit
NPWR03124_00,32,0,0001-01-01T00:00:00.00Z,Serenity Now
NPWR03124_00,33,0,0001-01-01T00:00:00.00Z,Tune-In Tokyo
NPWR03124_00,34,1,2019-10-05T10:10:10.00Z,Beekeeper
NPWR03124_00,35,0,0001-01-01T00:00:00.00Z,Just Because
NPWR03124_00,36,0,0001-01-01T00:00:00.00Z,Mostly Dead
NPWR03124_00,37,0,0001-01-01T00:00:00.00Z,Believe It or Not
NPWR03124_00,38,0,0001-01-01T00:00:00.00Z,Fashionista
NPWR03124_00,39,0,0001-01-01T00:00:00.00Z,Only Skin Deep
NPWR03124_00,40,0,0001-01-01T00:00:00.00Z,The Early End
NPWR03124_00,41,0,0001-01-01T00:00:00.00Z,"You Snooze, You Lose"
NPWR03124_00,42,0,0001-01-01T00:00:00.00Z,King of the Jungle
NPWR03124_00,43,0,0001-01-01T00:00:00.00Z,It Ain't Easy Being Green
NPWR03124_00,44,0,0001-01-01T00:00:00.00Z,Like a Boss
NPWR03124_00,45,0,0001-01-01T00:00:00.00Z,PEACE WALKER
